iter	Passed	Remaining
0	36	54764
1	70	52793
2	104	51836
3	139	51970
4	171	51156
5	206	51287
6	238	50735
7	269	50252
8	303	50174
9	339	50550
10	372	50351
11	404	50072
12	435	49744
13	468	49668
14	500	49441
15	532	49277
16	564	49176
17	597	49131
18	630	49072
19	663	49063
20	694	48855
21	727	48784
22	758	48632
23	790	48574
24	823	48500
25	854	48389
26	886	48296
27	920	48314
28	951	48206
29	985	48216
30	1017	48166
31	1049	48096
32	1080	47986
33	1111	47855
34	1143	47811
35	1176	47786
36	1208	47723
37	1240	47655
38	1270	47514
39	1302	47486
40	1333	47395
41	1365	47350
42	1397	47275
43	1428	47218
44	1459	47140
45	1491	47086
46	1522	47009
47	1554	46957
48	1589	47005
49	1622	46989
50	1654	46954
51	1685	46866
52	1717	46813
53	1748	46743
54	1777	46638
55	1808	46580
56	1838	46477
57	1871	46459
58	1901	46384
59	1937	46427
60	1971	46435
61	2004	46421
62	2036	46387
63	2068	46349
64	2101	46334
65	2135	46329
66	2166	46273
67	2199	46262
68	2233	46263
69	2266	46243
70	2298	46193
71	2329	46140
72	2364	46164
73	2396	46118
74	2429	46092
75	2466	46152
76	2497	46092
77	2528	46037
78	2560	45995
79	2594	45988
80	2629	45992
81	2661	45954
82	2691	45893
83	2723	45842
84	2754	45785
85	2785	45737
86	2816	45681
87	2850	45667
88	2883	45645
89	2914	45601
90	2949	45607
91	2983	45594
92	3016	45574
93	3047	45520
94	3080	45493
95	3111	45447
96	3143	45399
97	3175	45362
98	3207	45321
99	3238	45271
100	3269	45217
101	3302	45199
102	3331	45124
103	3361	45054
104	3391	44998
105	3423	44955
106	3454	44910
107	3486	44878
108	3517	44823
109	3548	44776
110	3578	44710
111	3608	44659
112	3638	44598
113	3671	44571
114	3703	44540
115	3734	44486
116	3763	44424
117	3795	44382
118	3826	44347
119	3860	44332
120	3891	44287
121	3922	44235
122	3954	44211
123	3984	44152
124	4014	44093
125	4046	44056
126	4078	44030
127	4108	43973
128	4141	43949
129	4173	43921
130	4204	43875
131	4234	43820
132	4263	43761
133	4294	43711
134	4323	43654
135	4355	43619
136	4385	43570
137	4415	43519
138	4446	43474
139	4477	43427
140	4508	43391
141	4538	43343
142	4569	43297
143	4601	43263
144	4632	43229
145	4662	43179
146	4695	43151
147	4726	43114
148	4758	43083
149	4789	43041
150	4820	43000
151	4851	42960
152	4884	42935
153	4914	42891
154	4946	42860
155	4977	42821
156	5013	42818
157	5043	42776
158	5074	42738
159	5106	42706
160	5136	42658
161	5164	42592
162	5197	42565
163	5228	42530
164	5261	42502
165	5294	42479
166	5325	42447
167	5356	42404
168	5386	42362
169	5416	42315
170	5448	42284
171	5481	42257
172	5512	42218
173	5541	42168
174	5575	42148
175	5606	42112
176	5636	42066
177	5667	42028
178	5697	41983
179	5728	41945
180	5758	41897
181	5790	41868
182	5822	41840
183	5855	41818
184	5887	41785
185	5919	41757
186	5954	41747
187	5990	41743
188	6020	41694
189	6050	41656
190	6082	41624
191	6114	41593
192	6147	41565
193	6179	41537
194	6209	41491
195	6240	41455
196	6272	41423
197	6302	41377
198	6335	41353
199	6366	41321
200	6398	41287
201	6430	41257
202	6459	41208
203	6489	41162
204	6519	41122
205	6551	41087
206	6583	41056
207	6612	41012
208	6643	40976
209	6674	40935
210	6703	40889
211	6736	40860
212	6767	40826
213	6798	40790
214	6827	40745
215	6857	40703
216	6887	40659
217	6918	40625
218	6950	40589
219	6982	40560
220	7015	40535
221	7051	40528
222	7083	40498
223	7114	40464
224	7146	40433
225	7181	40417
226	7211	40380
227	7242	40344
228	7274	40314
229	7304	40267
230	7333	40224
231	7364	40187
232	7397	40162
233	7429	40133
234	7459	40092
235	7490	40057
236	7522	40024
237	7553	39986
238	7585	39958
239	7617	39930
240	7648	39895
241	7682	39870
242	7713	39838
243	7744	39802
244	7774	39760
245	7804	39722
246	7837	39696
247	7869	39664
248	7902	39638
249	7932	39599
250	7961	39556
251	7994	39526
252	8024	39490
253	8054	39448
254	8086	39416
255	8119	39393
256	8154	39376
257	8184	39338
258	8215	39299
259	8248	39276
260	8279	39241
261	8313	39219
262	8343	39181
263	8375	39147
264	8407	39116
265	8435	39068
266	8467	39039
267	8499	39009
268	8530	38972
269	8559	38928
270	8591	38899
271	8622	38864
272	8654	38833
273	8686	38805
274	8716	38766
275	8746	38726
276	8777	38690
277	8809	38658
278	8839	38623
279	8870	38584
280	8901	38553
281	8931	38514
282	8965	38491
283	8997	38461
284	9028	38427
285	9058	38386
286	9094	38374
287	9124	38337
288	9156	38303
289	9188	38276
290	9220	38244
291	9250	38207
292	9282	38176
293	9312	38138
294	9347	38119
295	9380	38093
296	9411	38059
297	9445	38035
298	9476	38002
299	9506	37961
300	9536	37925
301	9569	37896
302	9602	37873
303	9633	37836
304	9665	37805
305	9695	37766
306	9725	37729
307	9758	37701
308	9789	37668
309	9819	37632
310	9850	37595
311	9881	37560
312	9912	37529
313	9943	37494
314	9979	37477
315	10014	37460
316	10049	37439
317	10083	37418
318	10117	37395
319	10149	37363
320	10182	37335
321	10216	37311
322	10251	37290
323	10287	37276
324	10320	37248
325	10354	37226
326	10388	37202
327	10422	37178
328	10452	37141
329	10487	37118
330	10520	37093
331	10550	37053
332	10582	37023
333	10618	37007
334	10651	36978
335	10683	36947
336	10713	36909
337	10745	36878
338	10778	36849
339	10812	36824
340	10847	36806
341	10879	36774
342	10913	36748
343	10944	36715
344	10977	36687
345	11009	36657
346	11039	36617
347	11069	36581
348	11101	36550
349	11133	36517
350	11165	36485
351	11196	36452
352	11227	36417
353	11257	36380
354	11290	36353
355	11325	36329
356	11357	36298
357	11389	36268
358	11421	36236
359	11451	36198
360	11483	36169
361	11514	36133
362	11545	36099
363	11576	36064
364	11608	36032
365	11639	36000
366	11670	35966
367	11705	35943
368	11735	35907
369	11767	35875
370	11797	35838
371	11828	35802
372	11860	35772
373	11891	35738
374	11922	35703
375	11953	35670
376	11985	35638
377	12015	35602
378	12046	35568
379	12076	35530
380	12109	35502
381	12141	35470
382	12173	35439
383	12203	35403
384	12234	35369
385	12267	35341
386	12299	35309
387	12330	35276
388	12363	35245
389	12397	35222
390	12430	35193
391	12460	35156
392	12490	35118
393	12520	35083
394	12550	35046
395	12581	35010
396	12612	34979
397	12644	34946
398	12670	34900
399	12701	34866
400	12731	34828
401	12761	34791
402	12791	34756
403	12823	34723
404	12852	34687
405	12883	34653
406	12915	34621
407	12946	34587
408	12978	34556
409	13012	34530
410	13046	34504
411	13075	34465
412	13106	34431
413	13136	34396
414	13168	34366
415	13199	34331
416	13228	34293
417	13261	34262
418	13290	34225
419	13323	34196
420	13353	34160
421	13383	34124
422	13414	34091
423	13444	34055
424	13476	34024
425	13507	33991
426	13540	33961
427	13569	33923
428	13600	33891
429	13632	33860
430	13664	33828
431	13694	33792
432	13727	33763
433	13757	33728
434	13788	33695
435	13821	33665
436	13851	33630
437	13882	33597
438	13912	33561
439	13941	33522
440	13971	33486
441	14002	33454
442	14032	33417
443	14063	33384
444	14094	33350
445	14124	33316
446	14156	33285
447	14188	33253
448	14218	33217
449	14249	33185
450	14280	33152
451	14310	33116
452	14341	33083
453	14373	33052
454	14403	33016
455	14433	32981
456	14464	32947
457	14497	32919
458	14528	32887
459	14560	32856
460	14591	32823
461	14622	32789
462	14653	32756
463	14683	32722
464	14714	32687
465	14748	32662
466	14782	32636
467	14816	32609
468	14847	32575
469	14878	32542
470	14909	32508
471	14940	32477
472	14971	32444
473	15002	32411
474	15032	32376
475	15064	32343
476	15095	32312
477	15128	32282
478	15164	32259
479	15197	32231
480	15232	32206
481	15263	32172
482	15294	32140
483	15326	32109
484	15358	32078
485	15390	32048
486	15421	32013
487	15451	31978
488	15483	31948
489	15516	31919
490	15549	31891
491	15580	31858
492	15609	31821
493	15641	31790
494	15671	31754
495	15705	31727
496	15736	31694
497	15766	31660
498	15798	31629
499	15831	31598
500	15861	31565
501	15893	31533
502	15925	31502
503	15958	31473
504	15989	31440
505	16022	31412
506	16052	31376
507	16083	31343
508	16114	31310
509	16145	31277
510	16176	31244
511	16208	31214
512	16238	31180
513	16269	31145
514	16298	31109
515	16329	31076
516	16359	31041
517	16391	31010
518	16422	30977
519	16454	30946
520	16486	30916
521	16516	30882
522	16551	30855
523	16584	30826
524	16615	30793
525	16648	30765
526	16679	30732
527	16708	30696
528	16740	30663
529	16770	30630
530	16805	30604
531	16836	30570
532	16869	30541
533	16899	30507
534	16931	30476
535	16962	30443
536	16992	30410
537	17022	30374
538	17052	30339
539	17083	30308
540	17114	30275
541	17146	30244
542	17176	30209
543	17207	30177
544	17237	30141
545	17267	30107
546	17296	30070
547	17329	30041
548	17362	30012
549	17393	29979
550	17425	29948
551	17456	29917
552	17487	29883
553	17519	29853
554	17550	29820
555	17581	29787
556	17612	29755
557	17642	29720
558	17676	29692
559	17709	29663
560	17740	29630
561	17769	29594
562	17802	29565
563	17833	29533
564	17864	29500
565	17896	29469
566	17928	29438
567	17962	29411
568	17996	29383
569	18029	29353
570	18065	29328
571	18096	29296
572	18125	29260
573	18157	29228
574	18190	29200
575	18222	29168
576	18253	29136
577	18292	29115
578	18323	29083
579	18355	29052
580	18387	29021
581	18419	28989
582	18453	28962
583	18486	28932
584	18517	28900
585	18551	28871
586	18583	28841
587	18620	28817
588	18655	28791
589	18689	28762
590	18727	28741
591	18758	28707
592	18789	28676
593	18825	28649
594	18859	28621
595	18890	28589
596	18921	28556
597	18953	28524
598	18985	28493
599	19016	28460
600	19048	28429
601	19077	28394
602	19109	28363
603	19142	28333
604	19173	28300
605	19204	28268
606	19234	28233
607	19266	28202
608	19295	28166
609	19326	28133
610	19356	28100
611	19388	28068
612	19418	28035
613	19449	28002
614	19481	27970
615	19512	27938
616	19543	27906
617	19575	27874
618	19606	27841
619	19639	27811
620	19668	27777
621	19700	27746
622	19731	27712
623	19761	27678
624	19792	27646
625	19823	27612
626	19854	27581
627	19884	27547
628	19915	27514
629	19946	27481
630	19977	27449
631	20008	27416
632	20042	27387
633	20071	27353
634	20104	27322
635	20134	27288
636	20166	27257
637	20198	27226
638	20228	27193
639	20257	27158
640	20289	27126
641	20321	27094
642	20354	27065
643	20384	27031
644	20415	26999
645	20445	26965
646	20476	26932
647	20509	26902
648	20542	26872
649	20572	26838
650	20604	26807
651	20634	26774
652	20667	26744
653	20697	26710
654	20729	26679
655	20764	26651
656	20795	26618
657	20827	26588
658	20859	26557
659	20890	26525
660	20924	26496
661	20959	26468
662	20992	26437
663	21021	26404
664	21054	26373
665	21085	26341
666	21118	26311
667	21151	26281
668	21184	26250
669	21215	26218
670	21247	26187
671	21277	26153
672	21311	26124
673	21344	26095
674	21375	26061
675	21407	26030
676	21444	26005
677	21473	25971
678	21505	25939
679	21535	25905
680	21567	25875
681	21597	25840
682	21627	25806
683	21658	25774
684	21688	25741
685	21721	25711
686	21753	25679
687	21785	25648
688	21816	25615
689	21846	25582
690	21877	25549
691	21908	25517
692	21939	25485
693	21970	25452
694	22000	25418
695	22029	25385
696	22061	25353
697	22090	25318
698	22122	25287
699	22153	25255
700	22186	25225
701	22218	25193
702	22248	25160
703	22279	25127
704	22310	25095
705	22340	25062
706	22371	25029
707	22401	24996
708	22435	24966
709	22466	24934
710	22497	24902
711	22528	24869
712	22559	24837
713	22589	24804
714	22619	24770
715	22651	24738
716	22681	24705
717	22713	24674
718	22742	24640
719	22773	24608
720	22805	24576
721	22835	24543
722	22867	24512
723	22898	24479
724	22930	24448
725	22959	24413
726	22991	24383
727	23021	24349
728	23052	24317
729	23084	24285
730	23116	24255
731	23148	24223
732	23179	24190
733	23209	24157
734	23240	24125
735	23269	24091
736	23300	24059
737	23331	24027
738	23362	23994
739	23394	23963
740	23426	23932
741	23457	23899
742	23488	23867
743	23520	23836
744	23554	23807
745	23586	23775
746	23617	23743
747	23646	23709
748	23676	23676
749	23707	23644
750	23739	23612
751	23770	23581
752	23802	23550
753	23832	23516
754	23863	23484
755	23896	23453
756	23928	23422
757	23958	23389
758	23992	23359
759	24022	23327
760	24052	23294
761	24082	23260
762	24113	23228
763	24144	23196
764	24176	23164
765	24206	23131
766	24238	23100
767	24267	23066
768	24296	23032
769	24327	23000
770	24357	22967
771	24390	22937
772	24420	22903
773	24450	22870
774	24479	22836
775	24508	22803
776	24540	22772
777	24573	22741
778	24604	22709
779	24637	22679
780	24671	22649
781	24706	22621
782	24738	22589
783	24768	22556
784	24801	22526
785	24831	22493
786	24862	22461
787	24894	22430
788	24923	22396
789	24954	22364
790	24985	22332
791	25017	22300
792	25047	22268
793	25081	22238
794	25114	22208
795	25146	22177
796	25179	22146
797	25213	22116
798	25242	22083
799	25270	22048
800	25303	22017
801	25331	21983
802	25362	21951
803	25392	21918
804	25422	21885
805	25455	21855
806	25485	21822
807	25519	21792
808	25551	21761
809	25582	21729
810	25616	21699
811	25645	21666
812	25675	21632
813	25706	21601
814	25736	21567
815	25768	21536
816	25798	21503
817	25830	21472
818	25860	21439
819	25891	21407
820	25924	21377
821	25958	21347
822	25990	21316
823	26022	21285
824	26059	21258
825	26096	21230
826	26132	21203
827	26167	21173
828	26199	21142
829	26230	21111
830	26262	21079
831	26296	21050
832	26329	21019
833	26364	20990
834	26396	20959
835	26428	20927
836	26462	20898
837	26496	20868
838	26528	20837
839	26560	20805
840	26594	20776
841	26626	20744
842	26658	20713
843	26691	20682
844	26726	20653
845	26762	20625
846	26795	20594
847	26829	20565
848	26860	20532
849	26892	20501
850	26923	20469
851	26955	20437
852	26986	20405
853	27017	20374
854	27049	20342
855	27079	20309
856	27111	20278
857	27142	20246
858	27174	20214
859	27205	20182
860	27236	20150
861	27267	20118
862	27299	20086
863	27328	20053
864	27360	20022
865	27393	19991
866	27425	19960
867	27459	19930
868	27489	19897
869	27522	19867
870	27552	19834
871	27585	19803
872	27617	19772
873	27645	19737
874	27676	19705
875	27710	19675
876	27745	19646
877	27775	19613
878	27807	19582
879	27838	19549
880	27868	19517
881	27900	19485
882	27929	19452
883	27961	19421
884	27996	19391
885	28027	19359
886	28059	19328
887	28089	19296
888	28121	19264
889	28153	19232
890	28183	19200
891	28213	19167
892	28245	19135
893	28275	19103
894	28305	19070
895	28335	19037
896	28365	19005
897	28395	18972
898	28426	18940
899	28456	18907
900	28490	18877
901	28522	18846
902	28552	18813
903	28583	18781
904	28612	18748
905	28643	18716
906	28675	18685
907	28707	18653
908	28739	18622
909	28770	18590
910	28801	18557
911	28830	18525
912	28862	18493
913	28894	18461
914	28926	18430
915	28958	18399
916	28988	18366
917	29019	18334
918	29051	18303
919	29084	18272
920	29114	18239
921	29146	18208
922	29177	18176
923	29209	18145
924	29240	18113
925	29274	18083
926	29307	18052
927	29337	18019
928	29368	17987
929	29398	17955
930	29430	17923
931	29459	17890
932	29489	17858
933	29521	17826
934	29551	17793
935	29585	17763
936	29617	17732
937	29649	17701
938	29679	17668
939	29709	17636
940	29741	17604
941	29772	17572
942	29804	17541
943	29837	17510
944	29868	17478
945	29899	17446
946	29931	17415
947	29962	17383
948	29994	17352
949	30024	17319
950	30057	17288
951	30089	17257
952	30119	17224
953	30151	17193
954	30184	17162
955	30219	17132
956	30252	17102
957	30283	17069
958	30315	17038
959	30346	17006
960	30376	16974
961	30408	16942
962	30438	16910
963	30468	16877
964	30501	16846
965	30533	16815
966	30564	16783
967	30596	16752
968	30626	16719
969	30658	16688
970	30689	16656
971	30722	16625
972	30755	16594
973	30787	16563
974	30817	16530
975	30848	16499
976	30880	16467
977	30911	16435
978	30946	16405
979	30978	16374
980	31010	16342
981	31043	16312
982	31077	16281
983	31108	16249
984	31139	16217
985	31172	16186
986	31203	16154
987	31234	16122
988	31264	16090
989	31295	16058
990	31327	16027
991	31358	15995
992	31388	15963
993	31420	15931
994	31452	15899
995	31483	15868
996	31515	15836
997	31548	15805
998	31585	15776
999	31619	15746
1000	31651	15715
1001	31682	15682
1002	31710	15649
1003	31744	15619
1004	31775	15587
1005	31805	15555
1006	31835	15522
1007	31868	15491
1008	31899	15459
1009	31931	15428
1010	31961	15395
1011	31992	15364
1012	32022	15331
1013	32054	15300
1014	32085	15268
1015	32119	15237
1016	32152	15206
1017	32182	15174
1018	32216	15143
1019	32248	15112
1020	32279	15080
1021	32312	15049
1022	32343	15017
1023	32374	14985
1024	32405	14953
1025	32433	14920
1026	32464	14888
1027	32493	14856
1028	32525	14824
1029	32557	14792
1030	32588	14761
1031	32619	14729
1032	32651	14697
1033	32682	14665
1034	32715	14634
1035	32745	14602
1036	32777	14571
1037	32810	14540
1038	32843	14509
1039	32875	14477
1040	32905	14445
1041	32937	14413
1042	32966	14381
1043	32999	14350
1044	33030	14318
1045	33063	14287
1046	33092	14254
1047	33125	14223
1048	33155	14191
1049	33185	14159
1050	33216	14127
1051	33250	14096
1052	33280	14064
1053	33313	14033
1054	33344	14001
1055	33375	13969
1056	33405	13937
1057	33437	13906
1058	33465	13873
1059	33496	13841
1060	33528	13809
1061	33561	13778
1062	33593	13747
1063	33624	13715
1064	33655	13683
1065	33688	13652
1066	33719	13620
1067	33749	13588
1068	33778	13555
1069	33810	13524
1070	33843	13493
1071	33877	13462
1072	33910	13431
1073	33941	13399
1074	33976	13369
1075	34009	13338
1076	34045	13308
1077	34077	13276
1078	34110	13245
1079	34142	13214
1080	34178	13184
1081	34210	13152
1082	34246	13123
1083	34284	13093
1084	34318	13063
1085	34350	13031
1086	34383	13000
1087	34416	12969
1088	34451	12939
1089	34487	12909
1090	34521	12878
1091	34556	12847
1092	34589	12816
1093	34622	12785
1094	34656	12754
1095	34687	12723
1096	34721	12692
1097	34755	12661
1098	34792	12631
1099	34825	12600
1100	34861	12570
1101	34896	12539
1102	34928	12508
1103	34963	12478
1104	34994	12446
1105	35026	12414
1106	35057	12382
1107	35089	12351
1108	35120	12319
1109	35151	12287
1110	35183	12255
1111	35215	12224
1112	35246	12192
1113	35277	12160
1114	35312	12129
1115	35343	12097
1116	35373	12065
1117	35403	12033
1118	35435	12001
1119	35466	11969
1120	35498	11938
1121	35532	11907
1122	35562	11875
1123	35594	11843
1124	35624	11811
1125	35656	11779
1126	35688	11748
1127	35721	11716
1128	35755	11686
1129	35789	11655
1130	35820	11623
1131	35851	11591
1132	35881	11559
1133	35914	11527
1134	35949	11497
1135	35981	11465
1136	36013	11434
1137	36045	11402
1138	36077	11371
1139	36109	11339
1140	36139	11307
1141	36171	11275
1142	36205	11245
1143	36235	11212
1144	36266	11180
1145	36296	11148
1146	36326	11116
1147	36358	11085
1148	36391	11053
1149	36422	11021
1150	36453	10989
1151	36484	10958
1152	36515	10926
1153	36548	10894
1154	36579	10862
1155	36609	10830
1156	36642	10799
1157	36676	10768
1158	36708	10737
1159	36744	10706
1160	36776	10674
1161	36809	10643
1162	36839	10611
1163	36872	10580
1164	36901	10547
1165	36934	10516
1166	36963	10484
1167	36996	10452
1168	37025	10420
1169	37056	10388
1170	37087	10356
1171	37116	10324
1172	37147	10292
1173	37178	10260
1174	37208	10228
1175	37239	10196
1176	37272	10165
1177	37304	10133
1178	37335	10101
1179	37366	10069
1180	37396	10037
1181	37427	10005
1182	37459	9974
1183	37490	9942
1184	37519	9910
1185	37554	9879
1186	37585	9847
1187	37615	9815
1188	37647	9783
1189	37677	9751
1190	37708	9720
1191	37739	9688
1192	37770	9656
1193	37807	9625
1194	37837	9593
1195	37871	9562
1196	37903	9531
1197	37935	9499
1198	37967	9468
1199	37998	9436
1200	38030	9404
1201	38061	9372
1202	38096	9342
1203	38130	9311
1204	38162	9279
1205	38193	9247
1206	38223	9215
1207	38254	9183
1208	38288	9152
1209	38318	9120
1210	38352	9089
1211	38383	9057
1212	38414	9025
1213	38446	8994
1214	38477	8962
1215	38507	8930
1216	38538	8898
1217	38569	8866
1218	38599	8834
1219	38630	8802
1220	38662	8771
1221	38694	8739
1222	38727	8708
1223	38759	8676
1224	38790	8644
1225	38821	8612
1226	38850	8580
1227	38881	8548
1228	38910	8516
1229	38940	8484
1230	38970	8452
1231	39001	8420
1232	39034	8389
1233	39064	8357
1234	39094	8325
1235	39125	8293
1236	39156	8261
1237	39186	8229
1238	39220	8198
1239	39254	8167
1240	39285	8135
1241	39315	8103
1242	39352	8073
1243	39383	8041
1244	39415	8009
1245	39448	7978
1246	39481	7946
1247	39511	7915
1248	39541	7882
1249	39572	7851
1250	39607	7820
1251	39638	7788
1252	39670	7756
1253	39700	7724
1254	39731	7692
1255	39761	7661
1256	39793	7629
1257	39825	7597
1258	39856	7566
1259	39887	7534
1260	39919	7502
1261	39951	7471
1262	39985	7439
1263	40022	7409
1264	40054	7377
1265	40087	7346
1266	40119	7314
1267	40154	7283
1268	40185	7251
1269	40219	7220
1270	40251	7188
1271	40281	7156
1272	40314	7125
1273	40343	7093
1274	40375	7061
1275	40405	7029
1276	40434	6997
1277	40468	6966
1278	40502	6935
1279	40532	6903
1280	40564	6871
1281	40595	6839
1282	40627	6808
1283	40657	6776
1284	40691	6744
1285	40721	6713
1286	40753	6681
1287	40787	6650
1288	40816	6618
1289	40848	6586
1290	40880	6554
1291	40912	6523
1292	40949	6492
1293	40979	6460
1294	41011	6428
1295	41044	6397
1296	41076	6365
1297	41106	6333
1298	41136	6301
1299	41170	6270
1300	41200	6238
1301	41232	6206
1302	41261	6174
1303	41293	6143
1304	41325	6111
1305	41356	6080
1306	41390	6048
1307	41422	6017
1308	41453	5985
1309	41482	5953
1310	41514	5921
1311	41545	5889
1312	41578	5858
1313	41609	5826
1314	41642	5795
1315	41672	5763
1316	41703	5731
1317	41735	5699
1318	41766	5668
1319	41797	5636
1320	41828	5604
1321	41860	5572
1322	41890	5541
1323	41921	5509
1324	41953	5477
