number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.8785903983225479,2024-07-12 01:38:39.409199,2024-07-12 01:40:33.578620,0 days 00:01:54.169421,0.8718085359089548,4,0.880768371391293,0.12868061891657523,0.24931906776417134,0.27832253650255445,10,17,35,COMPLETE
1,0.8787049245290742,2024-07-12 01:40:33.579618,2024-07-12 01:42:28.892199,0 days 00:01:55.312581,0.8872906108969144,4,0.9227710691704795,0.13068775085167342,0.2231086088335952,0.28629255358418654,12,17,41,COMPLETE
2,0.8786037088278503,2024-07-12 01:42:28.893198,2024-07-12 01:44:22.593753,0 days 00:01:53.700555,0.8143382740680455,4,0.9731382044447767,0.1245205730648077,0.23073999958088598,0.24441899950929344,10,15,41,COMPLETE
3,0.8784638618750296,2024-07-12 01:44:22.594750,2024-07-12 01:46:16.652431,0 days 00:01:54.057681,0.9010803977527969,4,0.9863538517745377,0.12983440352902872,0.22980071720832737,0.26916571889894025,9,17,34,COMPLETE
4,0.8785167005546479,2024-07-12 01:46:16.653429,2024-07-12 01:48:13.583495,0 days 00:01:56.930066,0.9433784148543037,3,0.92452305165529,0.13008083784028118,0.23632141644103108,0.2557437176128387,9,16,37,COMPLETE
5,0.8787298941037186,2024-07-12 01:48:13.585002,2024-07-12 01:50:10.025091,0 days 00:01:56.440089,0.9335787479900166,4,0.8172076844792285,0.12602838358035842,0.21177724452439387,0.29368556085907255,12,16,40,COMPLETE
6,0.8785185241197176,2024-07-12 01:50:10.025091,2024-07-12 01:52:08.841222,0 days 00:01:58.816131,0.9054252747137104,3,0.83325081446477,0.11348481489085901,0.2512971792185537,0.24112501422582988,10,16,40,COMPLETE
7,0.8786450236359005,2024-07-12 01:52:08.842219,2024-07-12 01:54:01.773437,0 days 00:01:52.931218,0.8134041041674662,3,0.9221876362526457,0.11915706712230983,0.25142698702709954,0.29374734854439744,12,18,36,COMPLETE
8,0.8785867599182872,2024-07-12 01:54:01.773437,2024-07-12 01:55:55.882541,0 days 00:01:54.109104,0.8574550608782354,4,0.9000511728831261,0.11138105205675859,0.22688282547695848,0.266759996608297,9,16,37,COMPLETE
9,0.8787239343438076,2024-07-12 01:55:55.884047,2024-07-12 01:57:52.912081,0 days 00:01:57.028034,0.9380305728290746,4,0.8456835407261167,0.131299287764372,0.2370937868039509,0.26958396758117703,9,18,39,COMPLETE
