number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
0,0.8785276544531014,2024-07-12 01:19:03.733143,2024-07-12 01:21:10.181557,0 days 00:02:06.448414,0.8401703722550189,4,0.6327410160608012,0.09007154716275827,0.2161241379792734,0.22776532549698056,11,21,42,COMPLETE
1,0.878314489469974,2024-07-12 01:21:10.182554,2024-07-12 01:23:03.434186,0 days 00:01:53.251632,0.7328134153571617,3,0.8977616615686046,0.09064445991689024,0.23357746719162265,0.23875883128399322,14,21,36,COMPLETE
2,0.8785655569355572,2024-07-12 01:23:03.435183,2024-07-12 01:25:01.124442,0 days 00:01:57.689259,0.8707908374096319,4,0.6821270773446028,0.10666593570668091,0.2084099059670722,0.2611874029262021,10,19,42,COMPLETE
3,0.8780722872085177,2024-07-12 01:25:01.125440,2024-07-12 01:26:51.776031,0 days 00:01:50.650591,0.5999575217157707,4,0.6946517264701674,0.12600802528933347,0.2412483257461979,0.20782774611586147,11,16,36,COMPLETE
4,0.8782705625642407,2024-07-12 01:26:51.776031,2024-07-12 01:28:50.558235,0 days 00:01:58.782204,0.8323050319515766,3,0.6650183824282834,0.10436037671469765,0.28199468465048216,0.21970513303014713,10,19,38,COMPLETE
5,0.8781728809889526,2024-07-12 01:28:50.559232,2024-07-12 01:30:39.759234,0 days 00:01:49.200002,0.6780640733397229,3,0.8254680058271393,0.111620219801997,0.24020653505551243,0.2571770577884993,12,19,30,COMPLETE
6,0.8783086256136383,2024-07-12 01:30:39.759234,2024-07-12 01:32:34.458094,0 days 00:01:54.698860,0.7155042575247995,3,0.6923916916518184,0.11968651517638984,0.2706569257629467,0.25221731309325873,12,18,35,COMPLETE
7,0.8780720210345719,2024-07-12 01:32:34.459092,2024-07-12 01:34:25.253951,0 days 00:01:50.794859,0.7712158605262835,3,0.7519898286796551,0.09170489310109028,0.22710583682510077,0.2528798453961586,12,17,29,COMPLETE
8,0.87867603804991,2024-07-12 01:34:25.254949,2024-07-12 01:36:16.477614,0 days 00:01:51.222665,0.8673448576231353,4,0.9014526722135849,0.12254260616677046,0.23058336894956008,0.26751271080960026,11,17,38,COMPLETE
9,0.878198270430614,2024-07-12 01:36:16.478612,2024-07-12 01:37:59.964601,0 days 00:01:43.485989,0.6774162617434398,4,0.8861961684902746,0.12993071021991565,0.24619129168955559,0.27526000217668883,9,14,28,COMPLETE
