number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_lr,params_optimizer,state
0,0.2934769336757443,2024-07-12 13:06:43.043580,2024-07-12 15:04:39.208670,0 days 01:57:56.165090,77,0.050234535484116695,Adam,COMPLETE
1,0.2913493198532937,2024-07-12 15:04:40.097243,2024-07-12 15:36:50.224668,0 days 00:32:10.127425,123,0.02223232908642494,RMSprop,COMPLETE
2,0.28680926350104186,2024-07-12 15:36:50.228697,2024-07-12 16:08:59.601732,0 days 00:32:09.373035,57,0.024259345169640407,RMSprop,COMPLETE
3,0.2636828551073202,2024-07-12 16:08:59.619098,2024-07-12 16:39:04.018029,0 days 00:30:04.398931,119,0.012298487011468845,SGD,COMPLETE
4,0.29196377101834586,2024-07-12 16:39:04.029069,2024-07-12 17:14:04.561954,0 days 00:35:00.532885,48,0.052708207613693,Adam,COMPLETE
5,0.3289716069700837,2024-07-12 17:14:04.562951,2024-07-12 17:17:36.178669,0 days 00:03:31.615718,92,0.07430376250254973,Adam,PRUNED
6,0.2686593009749215,2024-07-12 17:17:36.197131,2024-07-12 17:52:49.724626,0 days 00:35:13.527495,17,0.011426166416771334,Adam,COMPLETE
7,0.26375753811310054,2024-07-12 17:52:49.731667,2024-07-12 18:23:15.519005,0 days 00:30:25.787338,93,0.011114809339093819,SGD,COMPLETE
8,0.26424526278920835,2024-07-12 18:23:15.534000,2024-07-12 18:53:44.209781,0 days 00:30:28.675781,19,0.09922345437180957,SGD,COMPLETE
9,0.26378712207978317,2024-07-12 18:53:44.210780,2024-07-12 19:25:25.766748,0 days 00:31:41.555968,30,0.09586294060615497,SGD,COMPLETE
