number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
0,0.8795872660880298,2024-07-12 02:42:56.294888,2024-07-12 02:46:42.974532,0 days 00:03:46.679644,1.3214265374507903,0.5128224351810001,0.06557876172374676,0.07043548545920313,0.1964818216140643,12,1,0.8587757847031271,COMPLETE
1,0.8793696946271252,2024-07-12 02:46:42.975529,2024-07-12 02:50:19.564495,0 days 00:03:36.588966,1.2005917255480776,0.3700140576330737,0.059644305858207694,0.0808483331219364,0.20743584965875153,11,1,0.8995099823494039,COMPLETE
2,0.8788027539718642,2024-07-12 02:50:19.564495,2024-07-12 02:53:51.910122,0 days 00:03:32.345627,1.282394548364857,0.3794681548918612,0.05877723364457261,0.07792449377505828,0.18533915967219317,10,1,0.8770770866859665,COMPLETE
3,0.8786926530572039,2024-07-12 02:53:51.910122,2024-07-12 02:57:21.218114,0 days 00:03:29.307992,1.205771360370523,0.3708513066552323,0.06107931119640768,0.060881924259752966,0.21858823451045617,9,1,0.9753069072364702,COMPLETE
4,0.8797420212584356,2024-07-12 02:57:21.219621,2024-07-12 03:01:05.501431,0 days 00:03:44.281810,1.2459972369213452,0.39547289534374286,0.053620014298923074,0.06458169798157887,0.19986828666006856,13,1,0.9426962437632457,COMPLETE
5,0.8796483678367149,2024-07-12 03:01:05.502429,2024-07-12 03:04:46.934608,0 days 00:03:41.432179,1.1062508885662665,0.4158440619545671,0.06127465715089546,0.07251420357136878,0.21917373587780456,11,1,0.9818420344963598,COMPLETE
6,0.8786554672455883,2024-07-12 03:04:46.935605,2024-07-12 03:08:15.968375,0 days 00:03:29.032770,1.2867574410014815,0.3682134521884311,0.05365978171130127,0.08313063927605868,0.2211142569747924,9,1,0.9347037692099087,COMPLETE
7,0.8797454959359143,2024-07-12 03:08:15.968375,2024-07-12 03:11:55.679765,0 days 00:03:39.711390,1.4235373213347011,0.4679683415714328,0.04509322984068392,0.07873037104473732,0.21825879235260975,11,2,0.9835329496045356,COMPLETE
8,0.8792814680459972,2024-07-12 03:11:55.680762,2024-07-12 03:15:31.120283,0 days 00:03:35.439521,1.1262486914491725,0.4216674482629814,0.059020886762126176,0.07218749654853422,0.18314597212159675,10,1,0.920946948435378,COMPLETE
9,0.8786584510058645,2024-07-12 03:15:31.121315,2024-07-12 03:19:03.111103,0 days 00:03:31.989788,1.09418977114513,0.3964808034836297,0.05019395642022084,0.08398137378946399,0.17570286219909054,10,2,0.8970594081006287,COMPLETE
