iter	Logloss
0	0.6448652754
1	0.6040525103
2	0.569703852
3	0.5410008464
4	0.5171420683
5	0.4973617604
6	0.4809514465
7	0.4672416792
8	0.455832568
9	0.4461965868
10	0.4381510627
11	0.4313724627
12	0.4255277071
13	0.4205496951
14	0.4162569009
15	0.4125316714
16	0.4093942723
17	0.4065700661
18	0.4041282179
19	0.4019057785
20	0.3999488162
21	0.3982798172
22	0.3967269867
23	0.395363661
24	0.3941163808
25	0.3929290097
26	0.3919160025
27	0.3910490978
28	0.3902087635
29	0.3893939104
30	0.3886087381
31	0.3879428209
32	0.3873672383
33	0.3868237609
34	0.3863166668
35	0.3858830807
36	0.3854602938
37	0.385060775
38	0.3846909643
39	0.3843207729
40	0.3839600125
41	0.3836314167
42	0.3833070661
43	0.3829826106
44	0.382664452
45	0.3823569366
46	0.3820802629
47	0.3818136205
48	0.3815719192
49	0.3813733989
50	0.3811916422
51	0.3810092871
52	0.380836608
53	0.3806728242
54	0.3804982988
55	0.3803504375
56	0.3801732234
57	0.3799978647
58	0.3798483386
59	0.379731786
60	0.3795874772
61	0.3794507656
62	0.3792891708
63	0.3791289979
64	0.3790136498
65	0.37886817
66	0.3787683153
67	0.3786318075
68	0.3785347896
69	0.3784321802
70	0.3783387344
71	0.3782212676
72	0.3780950202
73	0.3780122091
74	0.3778926431
75	0.3778048378
76	0.3777298128
77	0.377601663
78	0.3775103211
79	0.377429536
80	0.3773292144
81	0.3772505426
82	0.3771610792
83	0.3770912108
84	0.3769753734
85	0.3768897327
86	0.3767941287
87	0.3767242951
88	0.3766640947
89	0.3765936452
90	0.3764795665
91	0.3764058278
92	0.3763137718
93	0.3762382118
94	0.3761534855
95	0.3760925581
96	0.3760263122
97	0.3759349172
98	0.375870697
99	0.3758081882
100	0.3757614967
101	0.3756981156
102	0.375618916
103	0.3755383536
104	0.3754869338
105	0.3754288013
106	0.3753807677
107	0.3753229792
108	0.3752684517
109	0.3751852899
110	0.3751377032
111	0.3750548236
112	0.3749936658
113	0.3749374347
114	0.3748889733
115	0.374832329
116	0.3747835212
117	0.3747257062
118	0.3746903634
119	0.3746484574
120	0.3745716353
121	0.3745269863
122	0.3744805988
123	0.3744349777
124	0.3743759407
125	0.3743327293
126	0.3742882458
127	0.3742398263
128	0.3741421148
129	0.3740978654
130	0.3740548314
131	0.3740072386
132	0.373971041
133	0.3739335473
134	0.3738913627
135	0.3738086746
136	0.3737287134
137	0.3736926967
138	0.3736471112
139	0.3735724934
140	0.3735301466
141	0.3735040493
142	0.3734607258
143	0.3734024722
144	0.3733655873
145	0.3733258893
146	0.3732579735
147	0.3732294666
148	0.3731880433
149	0.3731472978
150	0.3730720742
151	0.3730436791
152	0.3730101164
153	0.37297857
154	0.3729451248
155	0.3728697078
156	0.3728187628
157	0.372775814
158	0.3727396566
159	0.3726909107
160	0.3726580099
161	0.3726325394
162	0.3726001585
163	0.3725613836
164	0.3725262021
165	0.3724550015
166	0.3723936657
167	0.3723715493
168	0.3723414864
169	0.372287895
170	0.3722501579
171	0.3722142439
172	0.3721866887
173	0.3721401635
174	0.3721124247
175	0.3720819429
176	0.3720521214
177	0.3720177787
178	0.3719968259
179	0.3719377793
180	0.3719127304
181	0.3718629684
182	0.3718293178
183	0.3718097973
184	0.371759262
185	0.3717228865
186	0.3716860892
187	0.371629129
188	0.3716034791
189	0.3715743097
190	0.3715456269
191	0.3715258343
192	0.3714969397
193	0.3714673238
194	0.3714372861
195	0.3713850326
196	0.3713638505
197	0.3713336523
198	0.3713096559
199	0.3712671239
200	0.3712246116
201	0.3712080628
202	0.371187418
203	0.3711586982
204	0.3711385506
205	0.3711165515
206	0.3710946829
207	0.3710566088
208	0.3710362287
209	0.3710074867
210	0.3709589678
211	0.370929876
212	0.370907654
213	0.3708848748
214	0.3708607756
215	0.3708329743
216	0.3708128453
217	0.3707945195
218	0.3707632014
219	0.3707477734
220	0.3706931417
221	0.3706770784
222	0.370659994
223	0.3706388527
224	0.3705915457
225	0.3705680664
226	0.3705410158
227	0.3705217012
228	0.3704998461
229	0.3704582176
