iter	Passed	Remaining
0	5443	4175017
1	10962	4198522
2	16249	4143539
3	21249	4058628
4	26321	4016714
5	31114	3951501
6	36086	3923066
7	41248	3918568
8	46288	3903688
9	51325	3890483
10	56407	3881874
11	61581	3879660
12	66425	3857807
13	71309	3840520
14	76491	3839867
15	81498	3830436
16	86496	3821099
17	91332	3805511
18	96497	3804021
19	101688	3803163
20	106545	3789981
21	111444	3778993
22	116479	3772924
23	121431	3764368
24	126394	3756441
25	131267	3746160
26	135890	3729448
27	141184	3731293
28	146009	3720722
29	150864	3711273
30	156278	3715403
31	161352	3711108
32	166237	3702568
33	171226	3696472
34	176574	3697975
35	181460	3689691
36	186172	3678170
37	190946	3668186
38	195473	3653854
39	200561	3650220
40	205678	3647022
41	210683	3641810
42	215343	3630795
43	220152	3622509
44	224760	3611151
45	229896	3608379
46	234669	3599926
47	239927	3598906
48	244468	3587199
49	249167	3578043
50	254007	3571042
51	258637	3561235
52	263291	3551950
53	268307	3547626
54	272921	3538050
55	277798	3532008
56	282902	3528833
57	287523	3519679
58	292443	3514273
59	297352	3508759
60	302131	3501758
61	307218	3498326
62	311948	3490847
63	316426	3480689
64	321118	3473015
65	325587	3463064
66	330364	3456502
67	335057	3449116
68	339821	3442543
69	344760	3437753
70	349418	3430205
71	353896	3421003
72	358275	3410982
73	362806	3402540
74	367277	3393645
75	372258	3389509
76	377068	3383823
77	381064	3370956
78	385583	3362873
79	390396	3357405
80	394919	3349505
81	399431	3341589
82	404287	3336591
83	408875	3329412
84	413251	3320596
85	417391	3310008
86	421917	3302598
87	426334	3294405
88	430846	3287023
89	435664	3282005
90	440160	3274599
91	444592	3266785
92	449053	3259256
93	453613	3252507
94	457666	3242205
95	462238	3235667
96	466894	3229751
97	470855	3219112
98	475693	3214536
99	480482	3209620
100	484978	3202775
101	489764	3197875
102	494177	3190564
103	498264	3181229
104	502866	3175243
105	507513	3169567
106	512110	3163597
107	516944	3159107
108	521688	3154059
109	525780	3145123
110	530406	3139432
111	534441	3130297
112	538965	3124091
113	543350	3117116
114	547941	3111355
115	551966	3102431
116	556363	3095661
117	560867	3089524
118	565267	3082846
119	570082	3078446
120	574374	3071244
121	579067	3066208
122	583828	3061537
123	588345	3055601
124	592798	3049353
125	596915	3041429
126	601542	3036129
127	605618	3028094
128	609839	3020831
129	614248	3014540
130	618793	3008943
131	622914	3001316
132	627484	2995882
133	631420	2987466
134	636114	2982670
135	640383	2975901
136	644863	2970136
137	649239	2963919
138	653284	2956231
139	657828	2950829
140	662599	2946454
141	667026	2940554
142	671314	2934068
143	675480	2927083
144	680151	2922307
145	684891	2917825
146	688952	2910471
147	693509	2905243
148	698331	2901123
149	702361	2893730
150	706432	2886547
151	711007	2881450
152	715071	2874305
153	718958	2866495
154	723476	2861232
155	727625	2854532
156	732410	2850336
157	736929	2845105
158	741481	2840012
159	745972	2834694
160	750447	2829327
161	754964	2824127
162	759655	2819580
163	763686	2812603
164	768281	2807719
165	772346	2800919
166	776740	2795336
167	781238	2790137
168	785823	2785256
169	790500	2780703
170	795245	2776384
171	799825	2771488
172	804363	2766452
173	808686	2760689
174	813292	2755900
175	817921	2751191
176	822491	2746285
177	826800	2740517
178	831190	2735035
179	835608	2729653
180	840234	2724959
181	844329	2718556
182	848845	2713523
183	853360	2708491
184	857500	2702284
185	861549	2695816
186	866474	2692095
187	870365	2685171
188	874919	2680310
189	879665	2676033
190	884100	2670817
191	888066	2664198
192	892116	2657860
193	896778	2653355
194	901228	2648224
195	905646	2643010
196	910042	2637736
197	914763	2633410
198	919601	2629414
199	924150	2624587
200	928158	2618238
201	932786	2613648
202	937427	2609096
203	942141	2604745
204	946042	2598154
205	950557	2593267
206	955201	2588734
207	959882	2584298
208	964473	2579621
209	969167	2575217
210	973672	2570311
211	977746	2564278
212	981638	2557791
213	986151	2552934
214	990787	2548396
215	995292	2543525
216	999931	2538996
217	1004461	2534190
218	1008967	2529329
219	1013607	2524804
220	1017692	2518904
221	1022111	2513842
222	1026621	2509007
223	1030658	2503028
224	1034773	2497254
225	1039470	2492889
226	1044175	2488542
227	1048761	2483908
228	1053300	2479165
229	1057380	2473350
230	1061962	2468717
231	1066436	2463835
232	1070936	2459016
233	1075352	2454008
234	1079859	2449213
235	1084309	2444290
236	1088315	2438377
237	1092822	2433595
238	1097503	2429202
239	1102064	2424542
240	1106000	2418515
241	1110846	2414484
242	1115521	2410078
243	1119837	2404897
244	1124371	2400189
245	1128823	2395308
246	1133192	2390256
247	1137286	2384633
248	1141394	2379051
249	1145334	2373132
250	1149272	2367226
251	1153896	2362739
252	1158274	2357751
253	1162331	2352119
254	1166424	2346571
255	1170970	2341941
256	1175594	2337465
257	1180073	2332702
258	1184603	2328042
259	1189140	2323397
260	1193702	2318801
261	1198175	2314034
262	1202534	2309049
263	1206969	2304215
264	1211751	2300040
265	1216207	2295249
266	1220234	2289653
267	1224934	2285326
268	1229617	2280963
269	1234210	2276433
270	1238640	2271602
271	1243029	2266700
272	1247377	2261729
273	1251907	2257088
274	1256389	2252364
275	1260911	2247711
276	1265293	2242813
277	1269939	2238381
278	1274383	2233596
279	1278919	2228974
280	1283665	2224715
281	1287887	2219550
282	1291924	2214076
283	1296649	2209782
284	1300765	2204455
285	1305208	2199687
286	1309849	2195253
287	1314596	2190994
288	1319343	2186731
289	1323510	2181510
290	1328005	2176833
291	1332062	2171444
292	1336658	2166938
293	1341070	2162134
294	1345570	2157473
295	1349600	2152066
296	1354224	2147608
297	1358681	2142886
298	1363305	2138429
299	1367941	2133988
